Park Code,Cost,Description,Category
DRTO,10.0,"This fee covers entrance to the park for 7 days. If you are arriving via seaplane or ferry the travel ticket includes entrance fee to Dry Tortugas National Park and Fort Jefferson. If you hold a National Parks Pass, show your pass at check-in and the entrance fee will be deducted from your transportation cost.

If you are arriving via private boat or private seaplane fees are collected through a self-service fee area on the main dock at Garden Key. Cash or check only.",Dry Tortugas Entrance Fee
EVER,25.0,The entrance fee to the Everglades National Park is good for 7 consecutive days starting from the day of purchase.,Everglades National Park Entrance Fee- Per vehicle
EVER,8.0,"The Everglades National Park charges an entry fee per person when an individual enters the main entrance station through a bike or by walking. The entrance fee is good for 7 consecutive days starting from the day of purchase. Individuals 16 years old and younger, are admitted free of charge.",Everglades National Park Entrance Fee- Per Person/Cyclist
EVER,20.0,The Everglades National Park entrance fee for motorcycles is good for 7 consecutive days starting from the day of purchase.,Everglades National Park Entrance Fee- Per Motorcycle
EVER,200.0,"Entrance fees to the Everglades National Park are charged based on the seating capacity of the vehicle.

Motorcoach (26 or more passengers)",Everglades National Park Entrance Fee-  Commercial Motorcoach
EVER,100.0,"Entrance fees to the Everglades National Park are charged based on the seating capacity of the vehicle.

Minibus (16-25 passengers)",Everglades National Park Entrance Fee- Commercial Minibus
EVER,75.0,"Entrance fees to the Everglades National Park are charged based on the seating capacity of the vehicle.

Van (7- 15 passengers)",Everglades National Park Entrance Fee- Commercial Van
EVER,25.0,"Entrance fees to the Everglades National Park are charged based on the seating capacity of the vehicle.

Sedan (1-6 passengers: $8 per person)",Everglades National Park Entrance Fee- Commercial Sedan
GLAC,35.0,"This is a entrance fee for all persons traveling in a single, private, non-commercial vehicle (car/truck/van). The permit is non-transferable. Visitors can enter the park at any time, if the entrance station is not staffed, a self-registration area is available for purchasing a 7-day park permit.",Entrance Fee by car - 7 day permit
GLAC,20.0,"This is a per person entrance fee for a visitor traveling on foot, bicycle, or for individuals traveling together in a vehicle as a non-commercial, organized group. The permit is non-transferable.",Entrance Fee by single entry
GLAC,30.0,This is a per motorcycle entrance fee. The permit is non-transferable.,Entrance Fee by motorcycle
GLBA,0.0,There is no entrance fee to enter Glacier Bay National Park and Preserve.,No Entrance Fee
GRBA,0.0,Great Basin National Park has no entrance fees.,Entrance Fees
GRCA,35.0,"Admits one single, private, non-commercial vehicle and all its passengers. Organized groups are not eligible for the vehicle permit.",Grand Canyon National Park Vehicle Permit
GRCA,30.0,"Admits one single, private, non-commercial motorcycle and its passenger(s).",Grand Canyon National Park Motorcycle Permit
GRCA,20.0,"Admits one individual when entering by foot, bicycle, park shuttle bus, Grand Canyon Railway and private rafting trip. Individuals 15 years old and younger are admitted free of charge.",Grand Canyon National Park Individual Permit
GRSA,25.0,Passenger vehicle with all occupants; fee valid for 7 days.,Non-Commercial Vehicle and Occupants
GRSA,15.0,"Per passenger, 16 years and older in oversized vehicle, including 15 passenger vans, small buses, etc. Valid for 7 days. Passengers under 16 are free.","Oversized Vehicle, 15+ passengers, age 16+"
GRSA,20.0,One motorcycle and all its riders; valid for 7 days.,Motorcycle and Riders
GRSM,0.0,Great Smoky Mountains National Park does not charge an entrance fee.,Entrance Fee
GRTE,35.0,"Park entrance fee for 7 days for a private, non-commercial vehicle.",Grand Teton Entrance Fee - Private Vehicle
GRTE,30.0,Park entrance for 7 days per private motorcycle.,Grand Teton Entrance Fee - Motorcycle
GRTE,20.0,"Park entrance fee for 7 days for each visitor 16 years and older entering by foot, bicycle, ski, etc.",Grand Teton Entrance Fee - Hiker/Biker
GUMO,10.0,"An entrance fee of $10 per person (16 years of age and older) is required; entrance fees/passes permit 1-7 consecutive days of use in this national park..

Holders of the Annual, Senior, Military, 4th grade and Access Pass can bring in 3 adults free of charge under their pass. Any pass must be displayed in a vehicle while in the national park.",Entrance Fee
HALE,30.0,Entry Fee is valid for 3 days starting from the day of purchase. Please use credit cards for payment of entry fees at the Summit and Kipahulu entrance stations. All park visitors are required to purchase a recreational use pass upon entering Haleakalā National Park. Passes are non-transferable.,Haleakalā National Park Private Vehicle (14 pax capacity or less) Entry Fee
HALE,25.0,Entry Fee is valid for 3 days starting from the day of purchase. Please use credit cards for payment of entry fees at the Summit and Kipahulu entrance stations. All park visitors are required to purchase a recreational use pass upon entering Haleakalā National Park. Passes are non-transferable.,Haleakalā National Park Private Motorcycle Entry Fee
HALE,30.0,Organized groups that do not qualify for Educational Fee Waivers are charged as follows: $25.00 Non-commercial vehicles with a vehicle capacity of 14 or less. $12.00 per person Non-commercial vehicles with a capacity of 15 or greater. Youth 15 and under are free. Individuals or families with any valid Annual or Lifetime pass may use their pass for entry at the per person rate. Pass and photo ID must be present upon entry.,"Haleakalā Natonal Park Non-Commercial Organized Groups Fee; Scouts, Rotary, Clubs, Youth Groups, Churches, Reunions"
HALE,15.0,This fee is for visitors entering the park on a bicycle or on foot. Entry Fee is valid for 3 days starting from the day of purchase. Please use credit cards for payment of entry fees at the Summit and Kipahulu entrance stations. All park visitors are required to purchase a recreational use pass upon entering Haleakalā National Park. Passes are non-transferable.,"Haleakalā National Park Per Person Entry Fee; includes bicyclists, walk-ins, hikers"
HAVO,30.0,"Admits one private non-commercial vehicle (capacity 15 or less) and all of its passengers. Valid for 7 days. Organized non-profit groups, (service organizations, scouts, church groups, college/school clubs) are not eligible.",Hawai‘i Volcanoes National Park - Private Vehicle
HAVO,25.0,Per motorcycle - Valid for 7 days,Hawai‘i Volcanoes National Park - Motorcycle
HAVO,15.0,Per walk-in pedestrian - valid for 7 days,Hawai‘i Volcanoes National Park - Individual
HAVO,15.0,Per bicycle - Valid for 7 days,Hawai‘i Volcanoes National Park - Bicycle
HAVO,15.0,Non-commercial groups entering the park in a bus or vehicle with a capacity of 16 persons or more will be charged $15.00 for each person on board. Exceptions: Anyone who is 15 or younger is exempt from paying an entrance fee. Passes may be used for entry as defined on the back of the pass. In many cases the driver will have been hired for transportation only and is exempt from paying the entrance fee. The total fee charged will not exceed the equivalent commercial fee for that type of vehicle.,Hawai‘i Volcanoes National Park - Groups
HOSP,0.0,Entrance Fees,Entrance Fees
HOSP,0.0,Fordyce Museum,Historic Museum
HOSP,0.0,Guided Tours,Guided Tours
ISRO,7.0,"The daily entrance fee is  $7 per person. It is charged to enter or remain within the park per calendar day (it includes the day you arrive and the day you depart the park). Pay this fee after your transportation reservations have been confirmed. 

All Federal Recreation Passes (Annual, Senior, Access, Military) are honored. Entrance fees will be waived for the pass holder and up to 3 adults traveling with the pass holder.

Children ages 15 and under are exempt from paying entrance fees.",Isle Royale Entrance Fee
JOTR,30.0,"7-day vehicle permit, admitting the passengers of a single, non-commercial vehicle on the day of purchase and for the next six days.",Entrance Fee
JOTR,25.0,"7-day entrance permit, per motorcycle.",Motorcycle Entrance Fee
JOTR,15.0,"7-day entrance fee, per person on foot or bike.",Individual Entrance Fee
JOTR,15.0,Per-person fee charged to non-commercial groups entering in a vehicle with a capacity of 16 passengers or more.,Non-commercial Groups - Per Person
KATM,0.0,There is no entrance fee for Katmai.,Katmai National Park and Preserve
KEFJ,0.0,No entrance fees are charged at Kenai Fjords National Park,No Entrance Fee
KOVA,0.0,There is no entrance fee to visit Kobuk Valley National Park,Free Entrance
LACL,0.0,"You do not need to pay fees, make reservations, or obtain permits from the National Park Service for any recreational activities in the park including backpacking, camping, river running, bear viewing, or visiting Dick Proenneke's cabin.

Information regarding hunting and fishing license requirements, voluntary backcountry registration forms, and the permits commercial film crews or scientists conducting research and collecting items need to obtain are available on the Permits & Reservations page.",Lake Clark Entrance and User Fees
LAVO,10.0,Valid for 1-7 days at Lassen Volcanic National Park between December 1 and April 15.,Winter Pass
LAVO,30.0,Valid for 1-7 days at Lassen Volcanic National Park between April 16 and November 30,Vehicle Pass
LAVO,25.0,Valid for one motorcycle regardless of the amount of passengers. Valid for 7 days at Lassen Volcanic National Park.,Motorcycle Pass
LAVO,15.0,"Per person entrance fee for a visitor traveling on foot, bicycle, or for individuals traveling together in a vehicle as a non-commercial, organized group.Valid for 7 days at Lassen Volcanic National Park.",Individual Entrance Pass
MACA,0.0,"Entry to Mammoth Cave National Park and its surface features is free of charge. There is, however, a charge to tour the cave. Cave tour prices vary.",Park Entrance Fee
MACA,8.0,"Visit the Rotunda, one of the largest rooms in the cave and explore a vast canyon passageway. Learn about prehistoric Native American explorers, saltpeter mining operations, and basic cave geology. This is a short introductory tour to Mammoth Cave.",Mammoth Passage Tour - Adult Ticket
MACA,6.0,"Visit the Rotunda, one of the largest rooms in the cave and explore a vast canyon passageway. Learn about prehistoric Native American explorers, saltpeter mining operations, and basic cave geology. This is a short introductory tour to Mammoth Cave.",Mammoth Passage Tour - Youth Ticket
MACA,4.0,"Visit the Rotunda, one of the largest rooms in the cave and explore a vast canyon passageway. Learn about prehistoric Native American explorers, saltpeter mining operations, and basic cave geology. This is a short introductory tour to Mammoth Cave.",Mammoth Passage Tour - Senior Pass or Access Pass holder
MACA,14.0,The Frozen Niagara Entrance provides easy access to this decorative area of the cave. Walk through a fairyland of formations to learn how dripstone is formed. An optional 49 step staircase takes visitors under the Frozen Niagara formation to the Drapery Room. This easy trip is ideal for people who want a short introduction to Mammoth Cave. A ten-minute bus ride to and from the entrance is included.,Frozen Niagara Tour - Adult Ticket
MACA,10.0,The Frozen Niagara Entrance provides easy access to this decorative area of the cave. Walk through a fairyland of formations to learn how dripstone is formed. An optional 49 step staircase takes visitors under the Frozen Niagara formation to the Drapery Room. This easy trip is ideal for people who want a short introduction to Mammoth Cave. A ten minute bus ride to and from the entrance is included.,Frozen Niagara Tour - Youth Ticket
MACA,7.0,The Frozen Niagara Entrance provides easy access to this decorative area of the cave. Walk through a fairyland of formations to learn how dripstone is formed. An optional 49 step staircase takes visitors under the Frozen Niagara formation to the Drapery Room. This easy trip is ideal for people who want a short introduction to Mammoth Cave. A ten minute bus ride to and from the entrance is included.,Frozen Niagara Tour - Senior Pass or Access Pass holder
MACA,6.0,"Visit one of the largest rooms in the cave and explore a vast canyon passageway. Learn about prehistoric explorers, saltpeter mining, early owners and basic cave geology on this self-guiding tour. Rangers are on hand along this short introductory tour.",Mammoth Cave Discovery Tour - Adult Ticket
MACA,4.0,"Visit one of the largest rooms in the cave and explore a vast canyon passageway. Learn about prehistoric explorers, saltpeter mining, early owners and basic cave geology on this self-guiding tour. Rangers are on hand along this short introductory tour.",Mammoth Cave Discovery Tour - Youth Ticket
MACA,3.0,"Visit one of the largest rooms in the cave and explore a vast canyon passageway. Learn about prehistoric explorers, saltpeter mining, early owners and basic cave geology on this self-guiding tour. Rangers are on hand along this short introductory tour.",Mammoth Cave Discovery Tour - Senior Pass or Access Pass holder
MACA,17.0,"Feel the same excitement that intrigued our earliest explorers and visitors. Leave initial large passages behind to descend into deeper levels. Cross over Bottomless Pit, squeeze through Fat Man's Misery, clamber up Mammoth Dome tower to return to the Historic Entrance.",Historic Tour - Adult Ticket
MACA,12.0,"Feel the same excitement that intrigued our earliest explorers and visitors. Leave initial large passages behind to descend into deeper levels. Cross over Bottomless Pit, squeeze through Fat Man's Misery, clamber up Mammoth Dome tower to return to the Historic Entrance.",Historic Tour - Youth Ticket
MACA,8.5,"Feel the same excitement that intrigued our earliest explorers and visitors. Leave initial large passages behind to descend into deeper levels. Cross over Bottomless Pit, squeeze through Fat Man's Misery, clamber up Mammoth Dome tower to return to the Historic Entrance.",Historic Tour - Senior Pass or Access Pass holder
MACA,17.0,"Wind down through deep pits and high domes via a 280 step staircase. Vertical cave gives way to large canyons and underground hill climbs.  Visit the Frozen Niagara formation, then pass through one of the caves most decorative dripstone areas. A ten-minute bus ride to and from the entrances is included.",Domes and Dripstones Tour - Adult Ticket
MACA,12.0,"Wind down through deep pits and high domes via a 280 step staircase. Vertical cave gives way to large canyons and underground hill climbs.  Visit the Frozen Niagara formation, then pass through one of the caves most decorative dripstone areas. A ten-minute bus ride to and from the entrances is included.",Domes and Dripstones Tour - Youth Ticket
MACA,8.5,"Wind down through deep pits and high domes via a 280 step staircase. Vertical cave gives way to large canyons and underground hill climbs.  Visit the Frozen Niagara formation, then pass through one of the caves most decorative dripstone areas. A ten-minute bus ride to and from the entrances is included.",Domes and Dripstones Tour - Senior Pass or Access Pass holder
MACA,30.0,This physically demanding trip gives you an excellent perspective of the size and complexity of the Mammoth Cave system. Learn of the interwoven natural and cultural history of the cave as you journey  through some of the cave’s most dramatic passages.,Grand Avenue Tour - Adult Ticket
MACA,23.0,This physically demanding trip gives you an excellent perspective of the size and complexity of the Mammoth Cave system. Learn of the interwoven natural and cultural history of the cave as you journey  through some of the cave’s most dramatic passages.,Grand Avenue Tour - Youth Ticket
MACA,15.0,This physically demanding trip gives you an excellent perspective of the size and complexity of the Mammoth Cave system. Learn of the interwoven natural and cultural history of the cave as you journey  through some of the cave’s most dramatic passages.,Grand Avenue Tour - Senior Pass or Access Pass holder
MACA,20.0,Take a one mile stroll through the beautifully elliptical Cleaveland Avenue encrusted with gypsum formations in various crystalline shapes and sizes. Arrive one mile later in the Snowball Room before back tracking to the Carmichael entrance.,Cleaveland Avenue Tour - Adult Ticket
MACA,14.0,Take a one-mile stroll through the beautifully elliptical Cleaveland Avenue encrusted with gypsum formations in various crystalline shapes and sizes. Arrive one mile later in the Snowball Room before back tracking to the Carmichael entrance.,Cleaveland Avenue Tour - Youth Ticket
MACA,10.0,Take a one-mile stroll through the beautifully elliptical Cleaveland Avenue encrusted with gypsum formations in various crystalline shapes and sizes. Arrive one mile later in the Snowball Room before back tracking to the Carmichael entrance.,Cleaveland Avenue Tour - Senior Pass or Access Pass holder
MACA,20.0,Walk through miles of large passages by lantern light. Relive the stories and illusions of almost 200 years of tourism as the guides recreate the rugged nature of early tours. The flickering flame and rustic trails in this area make it seem as if time stands still in the cave.,Violet City Lantern Tour - Adult Ticket
MACA,15.0,Walk through miles of large passages by lantern light. Relive the stories and illusions of almost 200 years of tourism as the guides recreate the rugged nature of early tours. The flickering flame and rustic trails in this area make it seem as if time stands still in the cave.,Violet City Lantern Tour - Youth Ticket
MACA,10.0,Walk through miles of large passages by lantern light. Relive the stories and illusions of almost 200 years of tourism as the guides recreate the rugged nature of early tours. The flickering flame and rustic trails in this area make it seem as if time stands still in the cave.,Violet City Lantern Tour - Senior Pass or Access Pass holder
MACA,20.0,"A great cave activity for returning visitors, this trip includes a bus ride through a forested valley to another historically toured cave within the national park. Coleman lanterns illuminate a series of beautifully sculpted decorative rooms and passageways.",Great Onyx Tour - Adult Ticket
MACA,15.0,"A great cave activity for returning visitors, this trip includes a bus ride through a forested valley to another historically toured cave within the national park. Coleman lanterns illuminate a series of beautifully sculpted decorative rooms and passageways.",Great Onyx Tour - Youth Ticket
MACA,10.0,"A great cave activity for returning visitors, this trip includes a bus ride through a forested valley to another historically toured cave within the national park. Coleman lanterns illuminate a series of beautifully sculpted decorative rooms and passageways.",Great Onyx Tour - Senior Pass or Access Pass holder
MACA,18.0,"Want a glimpse of the underground rivers at the cave’s deepest levels? This geologic journey includes the complete Historic Tour route, plus a short visit down to the Dead Sea, the banks of River Styx and a quick view of Lake Lethe.",River Styx Cave Tour - Adult Ticket
MACA,13.0,"Want a glimpse of the underground rivers at the cave’s deepest levels? This geologic journey includes the complete Historic Tour route, plus a short visit down to the Dead Sea, the banks of River Styx and a quick view of Lake Lethe.",River Styx Cave Tour - Youth Ticket
MACA,9.0,"Want a glimpse of the underground rivers at the cave’s deepest levels? This geologic journey includes the complete Historic Tour route, plus a short visit down to the Dead Sea, the banks of River Styx and a quick view of Lake Lethe.",River Styx Cave Tour - Senior Pass or Access Pass holder
MACA,16.0,"Limestone walls swathed in dripstone curtains of orange and tan, beg for your lens on this short stroll underground.  Learn of early photography and challenges with cave lighting. Still or video cameras may be used, with flash. Pass through Thanksgiving Hall, Shower Bath Springs, Drapery Room, Onyx Colonnade, and Rainbow Dome.",Focus on Frozen Niagara Photo Tour - Adult Ticket
MACA,12.0,"Limestone walls swathed in dripstone curtains of orange and tan, beg for your lens on this short stroll underground.  Learn of early photography and challenges with cave lighting. Still or video cameras may be used, with flash. Pass through Thanksgiving Hall, Shower Bath Springs, Drapery Room, Onyx Colonnade, and Rainbow Dome.",Focus on Frozen Niagara Photo Tour - Youth Ticket
MACA,8.0,"Limestone walls swathed in dripstone curtains of orange and tan, beg for your lens on this short stroll underground.  Learn of early photography and challenges with cave lighting. Still or video cameras may be used, with flash. Pass through Thanksgiving Hall, Shower Bath Springs, Drapery Room, Onyx Colonnade, and Rainbow Dome.",Focus on Frozen Niagara Photo Tour - Senior Pass or Access Pass holder
MACA,15.0,Gothic Avenue features hundreds of candle-smoked signatures and monuments of stacked limestone dating back through the cave’s early years of tourism.,Gothic Avenue Tour - Adult Ticket
MACA,10.0,Gothic Avenue features hundreds of candle-smoked signatures and monuments of stacked limestone dating back through the cave’s early years of tourism.,Gothic Avenue Tour - Youth Ticket
MACA,7.5,Gothic Avenue features hundreds of candle-smoked signatures and monuments of stacked limestone dating back through the cave’s early years of tourism.,Gothic Avenue Tour - Senior Pass or Access Pass holder
MACA,20.0,Leave waning daylight behind as you enter the Historic Entrance by lantern light. See the cave as it was seen by early tourists. Gaze upward in the Star Chamber as a traditional illusion is recreated. Follow your guide into mystical Gothic Avenue. Retrace your steps and exit the cave to Kentucky’s nocturnal landscape.,Star Chamber Tour - Adult Ticket
MACA,15.0,Leave waning daylight behind as you enter the Historic Entrance by lantern light. See the cave as it was seen by early tourists. Gaze upward in the Star Chamber as a traditional illusion is recreated. Follow your guide into mystical Gothic Avenue. Retrace your steps and exit the cave to Kentucky’s nocturnal landscape.,Star Chamber Tour - Youth Ticket
MACA,10.0,Leave waning daylight behind as you enter the Historic Entrance by lantern light. See the cave as it was seen by early tourists. Gaze upward in the Star Chamber as a traditional illusion is recreated. Follow your guide into mystical Gothic Avenue. Retrace your steps and exit the cave to Kentucky’s nocturnal landscape.,Star Chamber Tour - Senior Pass or Access Pass holder
MACA,20.0,"A kids-only off-trail adventure! Hike through the forest and find out how the surface and subsurface are connected.  Learn how cavers safely explore today. Unlock the secrets of how cave life survives. Discover a new world as you hike, crawl and belly-slide through the cave. (Children 8-12 years only)",Trog - Youth Ticket
MACA,10.0,"A kids-only off-trail adventure! Hike through the forest and find out how the surface and subsurface are connected.  Learn how cavers safely explore today. Unlock the secrets of how cave life survives. Discover a new world as you hike, crawl and belly-slide through the cave. (Children 8-12 years only)",Trog - Access Pass holder
MACA,30.0,"A wild caving challenge for new cavers or families! Designed for both adults and kids 10 years and up. Learn the rules and techniques of safe caving, and an appreciation of this special environment. Similar to Wild Cave Tour, but shorter and less difficult.",Introduction to Caving - Adult Ticket
MACA,24.0,"A wild caving challenge for new cavers or families! Designed for both adults and kids 10 years and up. Learn the rules and techniques of safe caving, and an appreciation of this special environment. Similar to Wild Cave Tour, but shorter and less difficult.",Introduction to Caving - Youth Ticket (ages 10+)
MACA,15.0,"A wild caving challenge for new cavers or families! Designed for both adults and kids 10 years and up. Learn the rules and techniques of safe caving, and an appreciation of this special environment. Similar to Wild Cave Tour, but shorter and less difficult.",Introduction to Caving - Senior Pass or Access Pass holder
MACA,60.0,"A wild caving challenge for adults only. Venture into miles of undeveloped passageways no other tour sees. Be prepared for free-climbing, lengthy crawls, wet areas, and tight openings. Good physical condition is essential.  Participants must be 16 years of age.  Any youth ages 16 - 17 must be accompanied by an adult 18 or over.",Wild Cave Tour - Adult Ticket
MACA,30.0,"A wild caving challenge for adults only. Venture into miles of undeveloped passageways no other tour sees. Be prepared for free-climbing, lengthy crawls, wet areas, and tight openings. Good physical condition is essential.",Wild Cave Tour - Senior Pass or Access Pass holder
MACA,20.0,"Located ¼ mile from the park Visitor Center, this campground includes 105 sites. Each site features paved parking, a picnic table, and a fire ring. The campground has restrooms, fresh water, a dump station, garbage dumpsters, and a recycling station.  There are no hookups for electricity or water. No Refunds. Reservations are recommended. Check-in time is 12 noon, and check-out time is 11am. A maximum of 8 persons is permitted at each  site, and campers may stay a maximum of 14 days in a calendar year.",Mammoth Cave Campground - Regular Site
